Common name	Scientific name	Status	No.	No. Back
Violet Sabrewing	Campylopterus hemileucurus		42	1
White-tailed Sabrewing	Campylopterus ensipennis		5	0
Lazuline Sabrewing	Campylopterus falcatus		23	2
Santa Marta Sabrewing	Campylopterus phainopeplus		1	0
Napo Sabrewing	Campylopterus villaviscensio		14	0
Buff-breasted Sabrewing	Campylopterus duidae		1	0
Sombre Hummingbird	Aphantochroa cirrochloris		27	5
Swallow-tailed Hummingbird	Eupetomena macroura		31	5
White-necked Jacobin	Florisuga mellivora		36	2
Black Jacobin	Florisuga fusca		29	2
Brown Violetear	Colibri delphinae		71	4
Green Violetear	Colibri thalassinus		281	203
Sparkling Violetear	Colibri coruscans		161	106
White-vented Violetear	Colibri serrirostris		59	6
Green-throated Mango	Anthracothorax viridigula		4	0
Green-breasted Mango	Anthracothorax prevostii		11	3
Black-throated Mango	Anthracothorax nigricollis		20	2
Veraguan Mango	Anthracothorax veraguensis		7	0
Antillean Mango	Anthracothorax dominicus		6	1
Fiery-tailed Awlbill	Avocettula recurvirostris		3	0
Crimson Topaz	Topaza pella		19	1
Fiery Topaz	Topaza pyra		27	0
Purple-throated Carib	Eulampis jugularis		2	0
Green-throated Carib	Eulampis holosericeus		2	0
Ruby-topaz Hummingbird	Chrysolampis mosquitus		8	0
Antillean Crested Hummingbird	Orthorhyncus cristatus		4	1
Violet-headed Hummingbird	Klais guimeti		35	3
Plovercrest	Stephanoxis lalandi		47	11
Emerald-chinned Hummingbird	Abeillia abeillei		17	0
Tufted Coquette	Lophornis ornatus		1	0
Dot-eared Coquette	Lophornis gouldii		1	0
Frilled Coquette	Lophornis magnificus		5	0
Short-crested Coquette	Lophornis brachylophus		0	0
Rufous-crested Coquette	Lophornis delattrei		3	0
Spangled Coquette	Lophornis stictolophus		3	0
Festive Coquette	Lophornis chalybeus		5	0
Peacock Coquette	Lophornis pavoninus		0	0
Black-crested Coquette	Lophornis helenae		1	0
White-crested Coquette	Lophornis adorabilis		3	0
Wire-crested Thorntail	Discosura popelairii		2	0
Black-bellied Thorntail	Discosura langsdorffi		2	0
Letitia's Thorntail	Discosura letitiae		0	0
Green Thorntail	Discosura conversii		7	0
Racket-tailed Coquette	Discosura longicaudus		2	0
Blue-chinned Sapphire	Chlorestes notata		5	0
Golden-crowned Emerald	Chlorostilbon auriceps		2	0
Cozumel Emerald	Chlorostilbon forficatus		0	0
Canivet's Emerald	Chlorostilbon canivetii		3	1
Garden Emerald	Chlorostilbon assimilis		0	0
Blue-tailed Emerald	Chlorostilbon mellisugus		14	1
Western Emerald	Chlorostilbon melanorhynchus		7	0
Chiribiquete Emerald	Chlorostilbon olivaresi		0	0
Glittering-bellied Emerald	Chlorostilbon lucidus		29	8
Cuban Emerald	Chlorostilbon ricordii		4	0
Hispaniolan Emerald	Chlorostilbon swainsonii		2	0
Coppery Emerald	Chlorostilbon russatus		1	0
Narrow-tailed Emerald	Chlorostilbon stenurus		0	0
Green-tailed Emerald	Chlorostilbon alice		1	0
Short-tailed Emerald	Chlorostilbon poortmani		8	0
Fiery-throated Hummingbird	Panterpe insignis		16	6
White-tailed Emerald	Elvira chionura		3	0
Oaxaca Hummingbird	Eupherusa cyanophrys		6	0
White-tailed Hummingbird	Eupherusa poliocerca		0	0
Stripe-tailed Hummingbird	Eupherusa eximia		4	3
Black-bellied Hummingbird	Eupherusa nigriventris		3	0
Pirre Hummingbird	Goethalsia bella		2	0
Violet-capped Hummingbird	Goldmania violiceps		7	1
Dusky Hummingbird	Cynanthus sordidus		4	3
Broad-billed Hummingbird	Cynanthus latirostris		48	34
Doubleday's Hummingbird	Cynanthus doubledayi		2	0
Mexican Woodnymph	Thalurania ridgwayi		1	0
Crowned Woodnymph	Thalurania colombica		32	3
Fork-tailed Woodnymph	Thalurania furcata		29	4
Violet-capped Woodnymph	Thalurania glaucopis		36	12
Violet-bellied Hummingbird	Damophila julie		28	16
Sapphire-throated Hummingbird	Lepidopyga coeruleogularis		13	0
Sapphire-bellied Hummingbird	Lepidopyga lilliae		4	0
Shining-green Hummingbird	Lepidopyga goudoti		6	0
Blue-throated Sapphire	Hylocharis eliciae		31	2
Rufous-throated Sapphire	Hylocharis sapphirina		17	0
White-chinned Sapphire	Hylocharis cyanus		69	30
Gilded Sapphire	Hylocharis chrysura		44	21
Blue-headed Sapphire	Hylocharis grayi		11	0
Humboldt's Sapphire	Hylocharis humboldtii		3	0
Golden-tailed Sapphire	Chrysuronia oenone		40	10
White-throated Hummingbird	Leucochloris albicollis		78	17
White-tailed Goldenthroat	Polytmus guainumbi		14	0
Tepui Goldenthroat	Polytmus milleri		0	0
Green-tailed Goldenthroat	Polytmus theresiae		21	4
Buffy Hummingbird	Leucippus fallax		19	0
Tumbes Hummingbird	Leucippus baeri		15	0
Spot-throated Hummingbird	Leucippus taczanowskii		6	1
Olive-spotted Hummingbird	Leucippus chlorocercus		15	9
Many-spotted Hummingbird	Taphrospilus hypostictus		6	0
White-bellied Hummingbird	Amazilia chionogaster		68	27
Green-and-white Hummingbird	Amazilia viridicauda		21	0
Cinnamon Hummingbird	Amazilia rutila		28	4
Buff-bellied Hummingbird	Amazilia yucatanensis		26	0
Rufous-tailed Hummingbird	Amazilia tzacatl		119	70
Chestnut-bellied Hummingbird	Amazilia castaneiventris		23	2
Amazilia Hummingbird	Amazilia amazilia		59	32
Plain-bellied Emerald	Amazilia leucogaster		6	2
Versicolored Emerald	Amazilia versicolor		27	4
White-chested Emerald	Amazilia brevirostris		8	1
Andean Emerald	Amazilia franciae		59	5
White-bellied Emerald	Amazilia candida		16	0
Azure-crowned Hummingbird	Amazilia cyanocephala		16	17
Violet-crowned Hummingbird	Amazilia violiceps		23	10
Green-fronted Hummingbird	Amazilia viridifrons		1	0
Cinnamon-sided Hummingbird	Amazilia wagneri		2	0
Glittering-throated Emerald	Amazilia fimbriata		58	11
Sapphire-spangled Emerald	Amazilia lactea		24	8
Blue-chested Hummingbird	Amazilia amabilis		42	6
Charming Hummingbird	Amazilia decora		11	1
Purple-chested Hummingbird	Amazilia rosenbergi		28	6
Honduran Emerald	Amazilia luciae		12	0
Steely-vented Hummingbird	Amazilia saucerottei		19	7
Indigo-capped Hummingbird	Amazilia cyanifrons		17	1
Snowy-bellied Hummingbird	Amazilia edward		7	4
Blue-tailed Hummingbird	Amazilia cyanura		3	0
Berylline Hummingbird	Amazilia beryllina		50	17
Green-bellied Hummingbird	Amazilia viridigaster		5	0
Copper-rumped Hummingbird	Amazilia tobaci		5	0
Snowcap	Microchera albocoronata		2	0
Blossomcrown	Anthocephala floriceps		7	1
White-vented Plumeleteer	Chalybura buffonii		12	4
Bronze-tailed Plumeleteer	Chalybura urochrysia		23	0
Blue-throated Mountaingem	Lampornis clemenciae		103	111
Amethyst-throated Mountaingem	Lampornis amethystinus		15	1
Green-throated Mountaingem	Lampornis viridipallens		14	4
Green-breasted Mountaingem	Lampornis sybillae		26	9
White-bellied Mountaingem	Lampornis hemileucus		3	0
Purple-throated Mountaingem	Lampornis calolaemus		4	0
White-throated Mountaingem	Lampornis castaneoventris		3	0
Xantus's Hummingbird	Basilinna xantusii		13	1
White-eared Hummingbird	Basilinna leucotis		60	58
Garnet-throated Hummingbird	Lamprolaima rhami		2	0
Speckled Hummingbird	Adelomyia melanogenys		126	29
Ecuadorian Piedtail	Phlogophilus hemileucurus		21	7
Peruvian Piedtail	Phlogophilus harterti		3	0
Brazilian Ruby	Clytolaema rubricauda		39	6
Velvet-browed Brilliant	Heliodoxa xanthogonys		5	0
Pink-throated Brilliant	Heliodoxa gularis		3	0
Rufous-webbed Brilliant	Heliodoxa branickii		1	0
Black-throated Brilliant	Heliodoxa schreibersii		13	0
Gould's Jewelfront	Heliodoxa aurescens		6	0
Fawn-breasted Brilliant	Heliodoxa rubinoides		24	1
Green-crowned Brilliant	Heliodoxa jacula		16	0
Empress Brilliant	Heliodoxa imperatrix		9	0
Violet-fronted Brilliant	Heliodoxa leadbeateri		24	9
Magnificent Hummingbird	Eugenes fulgens		97	50
Scissor-tailed Hummingbird	Hylonympha macrocerca		7	0
Violet-chested Hummingbird	Sternoclyta cyanopectus		1	0
White-tailed Hillstar	Urochroa bougueri		10	2
Buff-tailed Coronet	Boissonneaua flavescens		46	6
Chestnut-breasted Coronet	Boissonneaua matthewsii		17	4
Velvet-purple Coronet	Boissonneaua jardini		20	0
Shining Sunbeam	Aglaeactis cupripennis		7	2
Purple-backed Sunbeam	Aglaeactis aliciae		9	0
White-tufted Sunbeam	Aglaeactis castelnaudii		2	0
Black-hooded Sunbeam	Aglaeactis pamela		5	1
Ecuadorian Hillstar	Oreotrochilus chimborazo		5	0
Andean Hillstar	Oreotrochilus estella		10	0
White-sided Hillstar	Oreotrochilus leucopleurus		3	0
Black-breasted Hillstar	Oreotrochilus melanogaster		4	1
Wedge-tailed Hillstar	Oreotrochilus adela		10	0
Mountain Velvetbreast	Lafresnaya lafresnayi		20	1
Bronzy Inca	Coeligena coeligena		19	2
Brown Inca	Coeligena wilsoni		28	18
Black Inca	Coeligena prunellei		14	0
Collared Inca	Coeligena torquata		13	1
White-tailed Starfrontlet	Coeligena phalerata		3	0
Golden-bellied Starfrontlet	Coeligena bonapartei		8	2
Blue-throated Starfrontlet	Coeligena helianthea		3	0
Buff-winged Starfrontlet	Coeligena lutetiae		32	14
Violet-throated Starfrontlet	Coeligena violifer		13	6
Rainbow Starfrontlet	Coeligena iris		18	2
Sword-billed Hummingbird	Ensifera ensifera		7	0
Great Sapphirewing	Pterophanes cyanopterus		10	0
Giant Hummingbird	Patagona gigas		39	3
Green-backed Firecrown	Sephanoides sephaniodes		25	13
Juan Fernandez Firecrown	Sephanoides fernandensis		11	0
Orange-throated Sunangel	Heliangelus mavors		5	0
Amethyst-throated Sunangel	Heliangelus amethysticollis		32	5
Gorgeted Sunangel	Heliangelus strophianus		8	1
Tourmaline Sunangel	Heliangelus exortis		17	1
Flame-throated Sunangel	Heliangelus micraster		6	0
Purple-throated Sunangel	Heliangelus viola		16	0
Royal Sunangel	Heliangelus regalis		8	0
Black-breasted Puffleg	Eriocnemis nigrivestis		4	0
Glowing Puffleg	Eriocnemis vestita		6	1
Black-thighed Puffleg	Eriocnemis derbyi		7	0
Turquoise-throated Puffleg	Eriocnemis godini		0	0
Coppery-bellied Puffleg	Eriocnemis cupreoventris		4	0
Sapphire-vented Puffleg	Eriocnemis luciani		10	0
Golden-breasted Puffleg	Eriocnemis mosquera		1	0
Blue-capped Puffleg	Eriocnemis glaucopoides		1	1
Colorful Puffleg	Eriocnemis mirabilis		2	0
Emerald-bellied Puffleg	Eriocnemis aline		4	0
Greenish Puffleg	Haplophaedia aureliae		20	3
Buff-thighed Puffleg	Haplophaedia assimilis		6	0
Hoary Puffleg	Haplophaedia lugens		8	0
Purple-bibbed Whitetip	Urosticte benjamini		16	0
Rufous-vented Whitetip	Urosticte ruficrissa		10	0
Booted Racket-tail	Ocreatus underwoodii		48	34
Black-tailed Trainbearer	Lesbia victoriae		25	9
Green-tailed Trainbearer	Lesbia nuna		13	1
Red-tailed Comet	Sappho sparganurus		25	5
Bronze-tailed Comet	Polyonymus caroli		5	0
Black-backed Thornbill	Ramphomicron dorsale		4	0
Purple-backed Thornbill	Ramphomicron microrhynchum		18	2
Bearded Mountaineer	Oreonympha nobilis		4	1
Green-bearded Helmetcrest	Oxypogon guerinii		4	0
Tyrian Metaltail	Metallura tyrianthina		144	35
Perija Metaltail	Metallura iracunda		3	0
Viridian Metaltail	Metallura williami		20	1
Violet-throated Metaltail	Metallura baroni		4	0
Neblina Metaltail	Metallura odomae		12	1
Coppery Metaltail	Metallura theresiae		6	2
Fiery-throated Metaltail	Metallura eupogon		2	0
Scaled Metaltail	Metallura aeneocauda		5	2
Black Metaltail	Metallura phoebe		7	0
Rufous-capped Thornbill	Chalcostigma ruficeps		5	1
Olivaceous Thornbill	Chalcostigma olivaceum		1	0
Blue-mantled Thornbill	Chalcostigma stanleyi		10	1
Bronze-tailed Thornbill	Chalcostigma heteropogon		1	1
Rainbow-bearded Thornbill	Chalcostigma herrani		4	0
Mountain Avocetbill	Opisthoprora euryptera		5	0
Grey-bellied Comet	Taphrolesbia griseiventris		1	0
Long-tailed Sylph	Aglaiocercus kingii		22	3
Venezuelan Sylph	Aglaiocercus berlepschi		2	0
Violet-tailed Sylph	Aglaiocercus coelestis		26	4
Hyacinth Visorbearer	Augastes scutatus		18	1
Hooded Visorbearer	Augastes lumachella		19	0
Wedge-billed Hummingbird	Schistes geoffroyi		42	3
Purple-crowned Fairy	Heliothryx barroti		5	0
Black-eared Fairy	Heliothryx auritus		8	0
Horned Sungem	Heliactin bilophus		9	0
Marvelous Spatuletail	Loddigesia mirabilis		3	0
Plain-capped Starthroat	Heliomaster constantii		9	1
Long-billed Starthroat	Heliomaster longirostris		11	4
Stripe-breasted Starthroat	Heliomaster squamosus		4	0
Blue-tufted Starthroat	Heliomaster furcifer		6	0
Oasis Hummingbird	Rhodopis vesper		7	1
Peruvian Sheartail	Thaumastura cora		8	4
Sparkling-tailed Woodstar	Tilmatura dupontii		0	0
Slender Sheartail	Doricha enicura		2	0
Mexican Sheartail	Doricha eliza		4	0
Amethyst Woodstar	Calliphlox amethystina		3	0
Bahama Woodstar	Calliphlox evelynae		2	0
Magenta-throated Woodstar	Calliphlox bryantae		2	0
Purple-throated Woodstar	Calliphlox mitchellii		4	0
Slender-tailed Woodstar	Microstilbon burmeisteri		3	1
Lucifer Sheartail	Calothorax lucifer		26	3
Beautiful Sheartail	Calothorax pulcher		8	3
Vervain Hummingbird	Mellisuga minima		8	0
Bee Hummingbird	Mellisuga helenae		10	0
Ruby-throated Hummingbird	Archilochus colubris		39	15
Black-chinned Hummingbird	Archilochus alexandri		78	116
Anna's Hummingbird	Calypte anna		128	100
Costa's Hummingbird	Calypte costae		28	14
Bumblebee Hummingbird	Atthis heloisa		12	0
Wine-throated Hummingbird	Atthis ellioti		14	0
Purple-collared Woodstar	Myrtis fanny		32	11
Chilean Woodstar	Eulidia yarrellii		5	1
Short-tailed Woodstar	Myrmia micrura		11	0
White-bellied Woodstar	Chaetocercus mulsant		15	3
Little Woodstar	Chaetocercus bombus		11	0
Gorgeted Woodstar	Chaetocercus heliodor		7	0
Santa Marta Woodstar	Chaetocercus astreans		2	0
Esmeraldas Woodstar	Chaetocercus berlepschi		5	0
Rufous-shafted Woodstar	Chaetocercus jourdanii		0	0
Broad-tailed Hummingbird	Selasphorus platycercus		99	135
Rufous Hummingbird	Selasphorus rufus		57	18
Allen's Hummingbird	Selasphorus sasin		16	6
Volcano Hummingbird	Selasphorus flammula		8	1
Glow-throated Hummingbird	Selasphorus ardens		0	0
Scintillant Hummingbird	Selasphorus scintilla		5	0
Calliope Hummingbird	Selasphorus calliope		23	1
Eared Quetzal	Euptilotis neoxenus		11	0
Pavonine Quetzal	Pharomachrus pavoninus		43	128
Golden-headed Quetzal	Pharomachrus auriceps		122	86
White-tipped Quetzal	Pharomachrus fulgidus		37	5
Resplendent Quetzal	Pharomachrus mocinno		59	23
Crested Quetzal	Pharomachrus antisianus		52	26
Hispaniolan Trogon	Priotelus roseigaster		8	3
Lattice-tailed Trogon	Trogon clathratus		10	2
Slaty-tailed Trogon	Trogon massena		71	52
Choco Trogon	Trogon comptus		38	27
Black-tailed Trogon	Trogon melanurus		119	245
Black-headed Trogon	Trogon melanocephalus		32	17
Citreoline Trogon	Trogon citreolus		20	3
White-tailed Trogon	Trogon chionurus		80	58
Baird's Trogon	Trogon bairdii		24	14
Green-backed Trogon	Trogon viridis		166	295
Gartered Trogon	Trogon caligatus		103	84
Guianan Trogon	Trogon violaceus		26	118
Blue-crowned Trogon	Trogon curucui		94	128
Surucua Trogon	Trogon surrucura		117	143
Black-throated Trogon	Trogon rufus		183	139
Elegant Trogon	Trogon elegans		88	67
Mountain Trogon	Trogon mexicanus		50	67
Collared Trogon	Trogon collaris		226	273
Masked Trogon	Trogon personatus		149	86
American Pygmy Kingfisher	Chloroceryle aenea		26	1
Green-and-rufous Kingfisher	Chloroceryle inda		31	5
Green Kingfisher	Chloroceryle americana		60	3
Amazon Kingfisher	Chloroceryle amazona		71	11
Ringed Kingfisher	Megaceryle torquata		148	43
Belted Kingfisher	Megaceryle alcyon		70	35
Broad-billed Tody	Todus subulatus		10	0
Narrow-billed Tody	Todus angustirostris		5	4
Tody Motmot	Hylomanes momotula		25	3
Blue-throated Motmot	Aspatha gularis		37	31
Russet-crowned Motmot	Momotus mexicanus		22	16
Blue-crowned Motmot	Momotus coeruliceps		17	30
Blue-diademed Motmot	Momotus lessonii		54	56
Whooping Motmot	Momotus subrufescens		39	27
Trinidad Motmot	Momotus bahamensis		2	0
Amazonian Motmot	Momotus momota		101	400
Andean Motmot	Momotus aequatorialis		51	37
Rufous Motmot	Baryphthengus martii		76	295
Rufous-capped Motmot	Baryphthengus ruficapillus		91	45
Keel-billed Motmot	Electron carinatum		18	5
Broad-billed Motmot	Electron platyrhynchum		95	224
Turquoise-browed Motmot	Eumomota superciliosa		34	36
Eurasian Hoopoe	Upupa epops		237	252
White-eared Jacamar	Galbalcyrhynchus leucotis		24	1
Purus Jacamar	Galbalcyrhynchus purusianus		23	1
Dusky-backed Jacamar	Brachygalba salmoni		5	0
Pale-headed Jacamar	Brachygalba goeringi		10	1
Brown Jacamar	Brachygalba lugubris		36	2
White-throated Jacamar	Brachygalba albogularis		13	4
Three-toed Jacamar	Jacamaralcyon tridactyla		26	2
Yellow-billed Jacamar	Galbula albirostris		36	1
Blue-necked Jacamar	Galbula cyanicollis		30	1
Rufous-tailed Jacamar	Galbula ruficauda		202	107
Green-tailed Jacamar	Galbula galbula		27	14
Coppery-chested Jacamar	Galbula pastazae		27	2
White-chinned Jacamar	Galbula tombacea		22	12
Bluish-fronted Jacamar	Galbula cyanescens		38	25
Purplish Jacamar	Galbula chalcothorax		20	1
Bronzy Jacamar	Galbula leucogastra		38	5
Paradise Jacamar	Galbula dea		50	21
Great Jacamar	Jacamerops aureus		94	41
White-necked Puffbird	Notharchus hyperrhynchus		56	17
Buff-bellied Puffbird	Notharchus swainsoni		11	0
Black-breasted Puffbird	Notharchus pectoralis		32	25
Brown-banded Puffbird	Notharchus ordii		21	4
Pied Puffbird	Notharchus tectus		35	12
Chestnut-capped Puffbird	Bucco macrodactylus		12	12
Spotted Puffbird	Bucco tamatia		34	3
Sooty-capped Puffbird	Bucco noanamae		3	0
Collared Puffbird	Bucco capensis		43	32
Barred Puffbird	Nystalus radiatus		36	14
White-eared Puffbird	Nystalus chacuru		39	7
Striolated Puffbird	Nystalus striolatus		51	46
Caatinga Puffbird	Nystalus maculatus		22	25
Russet-throated Puffbird	Hypnelus ruficollis		14	7
Crescent-chested Puffbird	Malacoptila striata		35	4
White-chested Puffbird	Malacoptila fusca		10	2
Semicollared Puffbird	Malacoptila semicincta		6	2
Black-streaked Puffbird	Malacoptila fulvogularis		23	1
Rufous-necked Puffbird	Malacoptila rufa		11	1
White-whiskered Puffbird	Malacoptila panamensis		32	2
Moustached Puffbird	Malacoptila mystacalis		28	2
Lanceolated Monklet	Micromonacha lanceolata		41	4
Rusty-breasted Nunlet	Nonnula rubecula		34	5
Fulvous-chinned Nunlet	Nonnula sclateri		3	0
Brown Nunlet	Nonnula brunnea		17	0
Grey-cheeked Nunlet	Nonnula frontalis		9	0
Rufous-capped Nunlet	Nonnula ruficapilla		21	9
Chestnut-headed Nunlet	Nonnula amaurocephala		0	0
White-faced Nunbird	Hapaloptila castanea		18	0
Black Nunbird	Monasa atra		30	7
Black-fronted Nunbird	Monasa nigrifrons		76	104
White-fronted Nunbird	Monasa morphoeus		58	70
Yellow-billed Nunbird	Monasa flavirostris		24	8
Swallow-winged Puffbird	Chelidoptera tenebrosa		29	12
Scarlet-crowned Barbet	Capito aurovirens		19	23
Scarlet-banded Barbet	Capito wallacei		11	0
Spot-crowned Barbet	Capito maculicoronatus		4	0
Orange-fronted Barbet	Capito squamatus		15	6
White-mantled Barbet	Capito hypoleucus		24	1
Black-girdled Barbet	Capito dayi		18	1
Brown-chested Barbet	Capito brunneipectus		4	0
Black-spotted Barbet	Capito niger		13	4
Gilded Barbet	Capito auratus		42	325
Five-colored Barbet	Capito quinticolor		18	4
Lemon-throated Barbet	Eubucco richardsoni		20	15
Red-headed Barbet	Eubucco bourcierii		46	26
Scarlet-hooded Barbet	Eubucco tucinkae		4	2
Versicolored Barbet	Eubucco versicolor		2	3
Prong-billed Barbet	Semnornis frantzii		18	1
Toucan Barbet	Semnornis ramphastinus		58	18
Emerald Toucanet	Aulacorhynchus prasinus		54	33
Groove-billed Toucanet	Aulacorhynchus sulcatus		29	0
Chestnut-tipped Toucanet	Aulacorhynchus derbianus		35	12
Tepui Toucanet	Aulacorhynchus whitelianus		2	0
Crimson-rumped Toucanet	Aulacorhynchus haematopygus		85	37
Yellow-browed Toucanet	Aulacorhynchus huallagae		6	0
Blue-banded Toucanet	Aulacorhynchus coeruleicinctis		22	15
Green Aracari	Pteroglossus viridis		5	0
Lettered Aracari	Pteroglossus inscriptus		15	5
Red-necked Aracari	Pteroglossus bitorquatus		13	1
Ivory-billed Aracari	Pteroglossus azara		14	12
Black-necked Aracari	Pteroglossus aracari		47	14
Chestnut-eared Aracari	Pteroglossus castanotis		50	17
Many-banded Aracari	Pteroglossus pluricinctus		15	4
Collared Aracari	Pteroglossus torquatus		22	8
Fiery-billed Aracari	Pteroglossus frantzii		4	0
Curl-crested Aracari	Pteroglossus beauharnaesii		21	13
Saffron Toucanet	Pteroglossus bailloni		24	0
Yellow-eared Toucanet	Selenidera spectabilis		18	0
Guianan Toucanet	Selenidera piperivora		37	9
Golden-collared Toucanet	Selenidera reinwardtii		45	88
Tawny-tufted Toucanet	Selenidera nattereri		5	0
Gould's Toucanet	Selenidera gouldii		24	7
Spot-billed Toucanet	Selenidera maculirostris		29	8
Grey-breasted Mountain Toucan	Andigena hypoglauca		47	4
Plate-billed Mountain Toucan	Andigena laminirostris		55	9
Hooded Mountain Toucan	Andigena cucullata		8	4
Black-billed Mountain Toucan	Andigena nigrirostris		89	9
Green-billed Toucan	Ramphastos dicolorus		69	41
Channel-billed Toucan	Ramphastos vitellinus		182	344
Choco Toucan	Ramphastos brevis		54	48
Keel-billed Toucan	Ramphastos sulfuratus		90	92
Toco Toucan	Ramphastos toco		51	10
White-throated Toucan	Ramphastos tucanus		177	781
Black-mandibled Toucan	Ramphastos ambiguus		160	89
Eurasian Wryneck	Jynx torquilla		208	184
Bar-breasted Piculet	Picumnus aurifrons		11	7
Lafresnaye's Piculet	Picumnus lafresnayi		15	1
Orinoco Piculet	Picumnus pumilus		2	0
Golden-spangled Piculet	Picumnus exilis		30	9
Ecuadorian Piculet	Picumnus sclateri		18	0
Scaled Piculet	Picumnus squamulatus		16	6
White-bellied Piculet	Picumnus spilogaster		14	1
Arrowhead Piculet	Picumnus minutissimus		6	3
Spotted Piculet	Picumnus pygmaeus		18	10
Speckle-chested Piculet	Picumnus steindachneri		9	1
Varzea Piculet	Picumnus varzeae		4	1
White-barred Piculet	Picumnus cirratus		59	22
Ocellated Piculet	Picumnus dorbignyanus		18	6
Ochre-collared Piculet	Picumnus temminckii		47	15
White-wedged Piculet	Picumnus albosquamatus		21	9
Rusty-necked Piculet	Picumnus fuscus		1	0
Rufous-breasted Piculet	Picumnus rufiventris		35	4
Ochraceous Piculet	Picumnus limae		3	1
Tawny Piculet	Picumnus fulvescens		11	1
Mottled Piculet	Picumnus nebulosus		26	0
Plain-breasted Piculet	Picumnus castelnau		4	0
Fine-barred Piculet	Picumnus subtilis		8	1
Olivaceous Piculet	Picumnus olivaceus		33	3
Greyish Piculet	Picumnus granadensis		12	0
Chestnut Piculet	Picumnus cinnamomeus		11	0
Antillean Piculet	Nesoctites micromegas		8	0
White Woodpecker	Melanerpes candidus		59	15
Lewis's Woodpecker	Melanerpes lewis		24	1
Puerto Rican Woodpecker	Melanerpes portoricensis		16	11
Red-headed Woodpecker	Melanerpes erythrocephalus		64	30
Acorn Woodpecker	Melanerpes formicivorus		155	485
Yellow-tufted Woodpecker	Melanerpes cruentatus		89	116
Yellow-fronted Woodpecker	Melanerpes flavifrons		37	11
Golden-naped Woodpecker	Melanerpes chrysauchen		10	5
Black-cheeked Woodpecker	Melanerpes pucherani		30	29
White-fronted Woodpecker	Melanerpes cactorum		18	3
Hispaniolan Woodpecker	Melanerpes striatus		25	17
Golden-cheeked Woodpecker	Melanerpes chrysogenys		37	11
Grey-breasted Woodpecker	Melanerpes hypopolius		12	5
Yucatan Woodpecker	Melanerpes pygmaeus		14	5
Red-crowned Woodpecker	Melanerpes rubricapillus		55	54
Gila Woodpecker	Melanerpes uropygialis		69	297
Hoffmann's Woodpecker	Melanerpes hoffmannii		35	19
Golden-fronted Woodpecker	Melanerpes aurifrons		40	94
Red-bellied Woodpecker	Melanerpes carolinus		142	420
Williamson's Sapsucker	Sphyrapicus thyroideus		48	12
Yellow-bellied Sapsucker	Sphyrapicus varius		71	51
Red-naped Sapsucker	Sphyrapicus nuchalis		40	21
Red-breasted Sapsucker	Sphyrapicus ruber		35	18
Yellow-crested Woodpecker	Dendropicos xantholophus		3	0
Crimson-breasted Woodpecker	Dendrocopos cathpharius		18	0
Great Spotted Woodpecker	Dendrocopos major		978	1275
Ladder-backed Woodpecker	Picoides scalaris		77	200
Nuttall's Woodpecker	Picoides nuttallii		51	53
Downy Woodpecker	Picoides pubescens		161	176
Hairy Woodpecker	Picoides villosus		211	158
Arizona Woodpecker	Picoides arizonae		41	11
Strickland's Woodpecker	Picoides stricklandi		1	0
Red-cockaded Woodpecker	Picoides borealis		50	8
White-headed Woodpecker	Picoides albolarvatus		19	6
Smoky-brown Woodpecker	Picoides fumigatus		79	29
American Three-toed Woodpecker	Picoides dorsalis		58	14
Black-backed Woodpecker	Picoides arcticus		33	1
Scarlet-backed Woodpecker	Veniliornis callonotus		29	4
Yellow-vented Woodpecker	Veniliornis dignus		15	0
Little Woodpecker	Veniliornis passerinus		51	28
Dot-fronted Woodpecker	Veniliornis frontalis		19	0
White-spotted Woodpecker	Veniliornis spilogaster		58	25
Checkered Woodpecker	Veniliornis mixtus		23	4
Striped Woodpecker	Veniliornis lignarius		35	1
Blood-colored Woodpecker	Veniliornis sanguineus		5	0
Red-rumped Woodpecker	Veniliornis kirkii		25	7
Red-stained Woodpecker	Veniliornis affinis		47	32
Choco Woodpecker	Veniliornis chocoensis		10	0
Golden-collared Woodpecker	Veniliornis cassini		11	4
Yellow-eared Woodpecker	Veniliornis maculifrons		10	4
Rufous-winged Woodpecker	Piculus simplex		7	1
Stripe-cheeked Woodpecker	Piculus callopterus		22	0
White-throated Woodpecker	Piculus leucolaemus		30	8
Lita Woodpecker	Piculus litae		13	2
Yellow-throated Woodpecker	Piculus flavigula		43	20
Golden-green Woodpecker	Piculus chrysochloros		26	41
Yellow-browed Woodpecker	Piculus aurulentus		63	6
Golden-olive Woodpecker	Colaptes rubiginosus		128	39
Grey-crowned Woodpecker	Colaptes auricularis		19	3
Bronze-winged Woodpecker	Colaptes aeruginosus		11	1
Crimson-mantled Woodpecker	Colaptes rivolii		71	9
Black-necked Woodpecker	Colaptes atricollis		18	2
Spot-breasted Woodpecker	Colaptes punctigula		39	7
Green-barred Woodpecker	Colaptes melanochloros		73	17
Northern Flicker	Colaptes auratus		216	379
Gilded Flicker	Colaptes chrysoides		37	16
Chilean Flicker	Colaptes pitius		20	1
Andean Flicker	Colaptes rupicola		52	20
Campo Flicker	Colaptes campestris		81	28
Cinnamon Woodpecker	Celeus loricatus		37	27
Waved Woodpecker	Celeus undatus		19	14
Scaly-breasted Woodpecker	Celeus grammicus		81	90
